"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Nigeria","Market Average","Market Average","food_price_index","2016-03-01","0.78","0.8","0.76","0.79","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2016-04-01","0.8","0.82","0.79","0.82","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2016-05-01","0.83","0.88","0.82","0.88","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2016-06-01","0.91","0.95","0.89","0.95","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2016-07-01","0.99","1.02","0.97","0.98","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2016-08-01","1","1.04","0.97","1.04","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2016-09-01","1.07","1.09","1.04","1.05","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2016-10-01","1.07","1.1","1.03","1.03","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2016-11-01","1.01","1.04","0.99","1.04","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2016-12-01","1.05","1.07","1.02","1.06","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-01-01","1.08","1.1","1.06","1.09","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-02-01","1.11","1.13","1.09","1.11","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-03-01","1.13","1.15","1.11","1.13","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-04-01","1.14","1.17","1.12","1.17","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-05-01","1.19","1.21","1.17","1.19","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-06-01","1.21","1.23","1.19","1.2","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-07-01","1.2","1.22","1.18","1.22","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-08-01","1.23","1.25","1.19","1.19","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-09-01","1.19","1.21","1.13","1.13","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-10-01","1.1","1.13","1.06","1.06","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-11-01","1.03","1.06","1","1","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2017-12-01","0.98","1","0.95","0.99","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-01-01","0.99","1.01","0.97","1","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-02-01","1.01","1.03","0.99","1","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-03-01","1.01","1.02","0.99","1.02","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-04-01","1.02","1.04","1","1.04","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-05-01","1.06","1.08","1.04","1.04","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-06-01","1.05","1.07","1.03","1.05","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-07-01","1.05","1.07","1.02","1.02","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-08-01","1.02","1.04","1","1","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-09-01","0.99","1.01","0.97","0.99","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-10-01","0.99","1","0.96","0.96","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-11-01","0.96","0.98","0.91","0.91","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2018-12-01","0.89","0.91","0.86","0.89","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-01-01","0.87","0.89","0.85","0.88","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-02-01","0.88","0.9","0.86","0.88","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-03-01","0.88","0.89","0.86","0.88","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-04-01","0.88","0.89","0.87","0.88","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-05-01","0.88","0.9","0.87","0.87","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-06-01","0.87","0.88","0.85","0.86","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-07-01","0.85","0.87","0.84","0.85","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-08-01","0.84","0.86","0.83","0.84","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-09-01","0.84","0.87","0.83","0.87","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-10-01","0.88","0.9","0.86","0.87","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-11-01","0.88","0.9","0.87","0.87","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2019-12-01","0.87","0.89","0.85","0.85","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-01-01","0.84","0.86","0.82","0.86","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-02-01","0.86","0.88","0.85","0.88","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-03-01","0.89","0.92","0.88","0.92","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-04-01","0.94","0.96","0.92","0.96","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-05-01","0.99","1","0.97","0.99","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-06-01","1.01","1.06","0.99","1.06","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-07-01","1.1","1.16","1.07","1.16","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-08-01","1.22","1.25","1.18","1.24","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-09-01","1.29","1.32","1.26","1.28","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-10-01","1.31","1.33","1.23","1.23","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-11-01","1.22","1.25","1.18","1.18","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2020-12-01","1.15","1.22","1.12","1.22","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2021-01-01","1.24","1.28","1.2","1.27","NGN"
"","Nigeria","Market Average","Market Average","food_price_index","2021-02-01","1.32","1.35","1.29","1.33","NGN"
